time,id,page,channel,oper,args
0,0,3,0,regwi,"{'va': 69905067, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 16, 'rb': 0, 'rc': 0, 'imm': 69905067}"
2,1,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 17, 'rb': 0, 'rc': 0, 'imm': 0}"
4,2,3,0,regwi,"{'va': 5000, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 19, 'rb': 0, 'rc': 0, 'imm': 5000}"
6,3,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
8,4,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
10,5,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 200}"
12,6,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 0}"
14,7,0,0,regwi,"{'va': 4, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 14, 'rb': 0, 'rc': 0, 'imm': 4}"
16,8,0,0,regwi,"{'va': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 49152}"
18,9,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
20,10,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 0}"
22,11,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
24,12,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
26,13,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
28,14,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 21, 'rb': 0, 'rc': 0, 'imm': 0}"
30,15,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
32,16,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 150}"
34,17,0,0,mathi,"{'vb': 0, 'va': 1, 'page': 0, 'ch': 0, 'oper': 8, 'ra': 15, 'rb': 15, 'rc': 0, 'imm': 1}"
36,18,0,0,memwi,"{'va': 1, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 1}"
38,7,0,-1,loopnz,"{'page': 0, 'oper': 8, 'ra': 14, 'rb': 14, 'rc': 0, 'addr': 8}"
40,8,0,0,regwi,"{'va': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 49152}"
42,9,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
44,10,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 0}"
46,11,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
48,12,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
50,13,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
52,14,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 21, 'rb': 0, 'rc': 0, 'imm': 0}"
54,15,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
56,16,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 150}"
58,17,0,0,mathi,"{'vb': 1, 'va': 2, 'page': 0, 'ch': 0, 'oper': 8, 'ra': 15, 'rb': 15, 'rc': 0, 'imm': 1}"
60,18,0,0,memwi,"{'va': 2, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 1}"
62,7,0,-1,loopnz,"{'page': 0, 'oper': 8, 'ra': 14, 'rb': 14, 'rc': 0, 'addr': 8}"
64,8,0,0,regwi,"{'va': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 49152}"
66,9,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
68,10,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 0}"
70,11,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
72,12,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
74,13,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
76,14,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 21, 'rb': 0, 'rc': 0, 'imm': 0}"
78,15,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
80,16,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 150}"
82,17,0,0,mathi,"{'vb': 2, 'va': 3, 'page': 0, 'ch': 0, 'oper': 8, 'ra': 15, 'rb': 15, 'rc': 0, 'imm': 1}"
84,18,0,0,memwi,"{'va': 3, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 1}"
86,7,0,-1,loopnz,"{'page': 0, 'oper': 8, 'ra': 14, 'rb': 14, 'rc': 0, 'addr': 8}"
88,8,0,0,regwi,"{'va': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 49152}"
90,9,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
92,10,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 0}"
94,11,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
96,12,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
98,13,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
100,14,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 21, 'rb': 0, 'rc': 0, 'imm': 0}"
102,15,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
104,16,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 150}"
106,17,0,0,mathi,"{'vb': 3, 'va': 4, 'page': 0, 'ch': 0, 'oper': 8, 'ra': 15, 'rb': 15, 'rc': 0, 'imm': 1}"
108,18,0,0,memwi,"{'va': 4, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 1}"
110,7,0,-1,loopnz,"{'page': 0, 'oper': 8, 'ra': 14, 'rb': 14, 'rc': 0, 'addr': 8}"
112,8,0,0,regwi,"{'va': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 49152}"
114,9,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
116,10,0,0,regwi,"{'va': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 31, 'rb': 0, 'rc': 0, 'imm': 0}"
118,11,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
120,12,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 18, 'rb': 0, 'rc': 0, 'imm': 0}"
122,13,3,0,regwi,"{'va': 524438, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 20, 'rb': 0, 'rc': 0, 'imm': 524438}"
124,14,3,0,regwi,"{'va': 0, 'page': 3, 'ch': 0, 'oper': 0, 'ra': 21, 'rb': 0, 'rc': 0, 'imm': 0}"
126,15,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
128,16,0,0,synci,"{'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'imm': 150}"
130,17,0,0,mathi,"{'vb': 4, 'va': 5, 'page': 0, 'ch': 0, 'oper': 8, 'ra': 15, 'rb': 15, 'rc': 0, 'imm': 1}"
132,18,0,0,memwi,"{'va': 5, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 15, 'rb': 0, 'rc': 0, 'imm': 1}"
134,19,0,-1,loopnz,"{'page': 0, 'oper': 8, 'ra': 14, 'rb': 14, 'rc': 0, 'addr': 8}"
136,20,0,-1,end,"{'page': 0, 'oper': 0, 'ra': 0, 'rb': 0, 'rc': 0, 'addr': 0}"
200,21,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
350,21,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
400,21,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
410,21,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
500,21,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
550,21,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
560,21,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
650,21,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
700,21,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
710,21,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
800,21,3,7,set,"{'va': 69905067, 'vb': 0, 'vc': 0, 'vd': 5000, 've': 524438, 'vt': 0, 'page': 3, 'ch': 7, 'oper': 0, 'ra': 0, 'rb': 16, 'rc': 21, 'rd': 17, 're': 18, 'rf': 19, 'rg': 20, 'rh': 0}"
850,21,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
860,21,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
1000,21,0,0,seti,"{'vb': 49152, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 200}"
1010,21,0,0,seti,"{'vb': 0, 'page': 0, 'ch': 0, 'oper': 0, 'ra': 0, 'rb': 31, 'rc': 0, 'imm': 210}"
